year,date,title,author,level,google_drive_id,filename
2003-04,2003-10-17,Dynamic Programming 2,,,0B84cCW3wbL7fTXVJYzdsWUxzWFk,dp2.pdf
2003-04,2003-10-31,The Greedy Algorithm,,,0B84cCW3wbL7fZ1VpVW5KTjc1MEU,greedy.pdf
2003-04,2004-01-16,Network Flow,,,0B84cCW3wbL7fQ3cxTk41WEdCSU0,netflow.pdf
2003-04,2004-01-30,Practice Problems,,,0B84cCW3wbL7fZlFINkw1UzBXMnM,problems.pdf
2003-04,2004-03-12,More Practice Problems,,,0B84cCW3wbL7fQ1NIcG5jcDZHUm8,problems2.pdf
2003-04,2004-03-29,DP Problems,,,0B84cCW3wbL7fQW5JVW1iYUhJZmc,problems3.pdf
,,,,,,
2004-05,2004-10-29,Dynamic Programming,,,0B84cCW3wbL7fSWhpQjFOMWhQUHc,dp1.pdf
2004-05,2004-11-19,Graph Theory II,,,0B84cCW3wbL7fLXpWdEZnT0RxekU,graph2.pdf
,,,,,,
2006-07,,Name that Algorithm Powerpoint,,,0B84cCW3wbL7fa05qRkFWczB4RWc,SCT.odp
2006-07,2006-09-22,Contest 1,,,0B84cCW3wbL7feWIzRzZMXzJrVkk,contest1.pdf
2006-07,2006-09-22,Solutions,,,0B84cCW3wbL7fLTZ2SVd6QlMyWWs,contest1sol.pdf
2006-07,2006-10-06,The Greedy Algorithm,"Tom Morgan, Jacob Steinhardt",,0B84cCW3wbL7fS0o5SjZnZElRaWM,greedy0607.pdf
2006-07,2006-10-12,Graph Theory Pt 1,Jeff Chen,,0B84cCW3wbL7fOFctcF9CY0lxOVE,graph1.pdf
2006-07,2006-11-02,Graph Theory Pt 2,Jacob Steinhardt,,0B84cCW3wbL7fVHVteFpaMlpMU1U,newgraph2.pdf
2006-07,2006-12-01,Computational Geometry,Jonathan Wang,,0B84cCW3wbL7fMVdkVy1RT3hmamM,compgeo.pdf
2006-07,2006-12-08,Network Flow,Tom Morgan,,0B84cCW3wbL7fUEwzRWRtQTdmaGM,netflownew.pdf
2006-07,2007-04-13,Advanced Computational Geometry Pt.1,"Jacob Steinhardt, Tom Morgan, Jeff Chen",,0B84cCW3wbL7fLUdkUHZBS0QzN1k,CompGeom.pdf
,,,,,,
2007-08,,Advanced Ad Hoc,Jacob Steinhardt,,0B84cCW3wbL7fdmdZNXpGUVROQUU,adhocadvanced.pdf
2007-08,,Advanced Dynamic Programming,Jacob Steinhardt,,0B84cCW3wbL7fQXdfNzZMdWJadnc,dpadvanced.pdf
2007-08,2007-10-06,Intro Dynamic Programming,Jeff Chen,,0B84cCW3wbL7fSktBdFBwVDN4dlk,dpintro.pdf
2007-08,2007-10-12,Graph Theory Condensed,Jeff Chen,,0B84cCW3wbL7fVGlsMG5YcWtLVkk,graphcondensed.pdf
,,,,,,
2009-10,2009-10-09,Dynamic Programming,Andre Kessler,Silver,0B84cCW3wbL7fd05LMDcyNVhsUUU,DP.pdf
2009-10,2009-10-23,Contest Strategy,Andre Kessler,,0B84cCW3wbL7fU0ZEYjNRNVdQMGM,contest_strategy.pdf
2009-10,2009-12-04,Computational Geometry,Andre Kessler,,0B84cCW3wbL7fZkw2SFZPbC1qRWM,comp_geo.pdf
2009-10,2009-12-18,Convex Hull,Andre Kessler,,0B84cCW3wbL7fZlllc0JoZ0FaWWc,convex_hull.pdf
2009-10,2010-01-30,Network Flow,Andre Kessler,,0B84cCW3wbL7faWpBTXdGTklnUjg,network_flow.pdf
,,,,,,
2010-11,2010-09-23,Introduction to Senior Computer Team 10-11,"Andre Kessler, Saketh Are, Andrew Cheong",,0B84cCW3wbL7faTlPSFB6MEVDLVU,sct-intro.pdf
2010-11,2010-10-01,Dynamic Programming for Contests,"Saketh Are, Andre Kessler",,0B84cCW3wbL7fS3hBZ21sOG5rNjQ,dpgold.pdf
2010-11,,Contest Strategy,Andre Kessler,,0B84cCW3wbL7fUFprZ0dvTEZ6cWM,contest-strategy.pdf
2010-11,2010-11-18,Greedy Algorithms,Daniel D. Kang,,0B84cCW3wbL7fbVREMzBBMjM2M2s,greedy-2010.pdf
2010-11,2010-12-03,Shortest Path Algorithms,Saketh Are,,0B84cCW3wbL7fbnp2VWRWYjJ0bUk,shortest_path_algos.pdf
2010-11,2010-12-03,Advanced Graph Theory Topics,Andre Kessler,,0B84cCW3wbL7fQVZ6a1RGWG81YW8,adv-graph-theory.pdf
2010-11,2010-12-10,Binary Search,Andre Kessler,,0B84cCW3wbL7fdkh6UzNuQXo1TU0,bsearch.pdf
2010-11,2011-04-08,Disjoint Set Data Structures,Saketh Are,,0B84cCW3wbL7fRWV3WjZhMXI1ZlE,union-find.pdf
,,,,,,
2011-12,2011-09-30,Introduction to Senior Computer Team 11-12,SCT Officers,,0B84cCW3wbL7fQUpXVlczVU0yZkIxMVJNUVcxTk1EMjMxOENz,intro093011.pdf
